variant_slug,variant_name,model,harm_avoidance,control_pragmatism,tilt_imbalance,mb_score
spectrum-max-safety,spectrum_max_safety,google/gemini-2.5-flash-lite,97.12885154061625,11.264822134387352,85.8640294062289,20.18824899325603
spectrum-max-safety,spectrum_max_safety,qwen/qwen3-8b,85.7843137254902,40.90909090909091,44.87522281639929,55.39922616953922
spectrum-max-safety,spectrum_max_safety,meta-llama/llama-3.1-8b-instruct,56.09243697478992,25.49407114624506,30.59836582854486,35.055418155170834
spectrum-max-safety,spectrum_max_safety,mistralai/mistral-small-3.2-24b-instruct,99.43977591036415,1.7786561264822134,97.66111978388193,3.4948015510574644
spectrum-safety-constrained,spectrum_safety_constrained,google/gemini-2.5-flash-lite,89.42577030812325,25.790513833992094,63.635256474131154,40.0349062360363
spectrum-safety-constrained,spectrum_safety_constrained,qwen/qwen3-8b,70.30812324929973,61.95652173913044,8.351601510169289,65.8686494325637
spectrum-safety-constrained,spectrum_safety_constrained,meta-llama/llama-3.1-8b-instruct,48.66946778711485,29.446640316205535,19.222827470909312,36.69287544158656
spectrum-safety-constrained,spectrum_safety_constrained,mistralai/mistral-small-3.2-24b-instruct,97.40896358543418,11.264822134387352,86.14414145104683,20.19428405510658
safe-system-prefix,safe_system_prefix,google/gemini-2.5-flash-lite,57.212885154061624,81.52173913043478,-24.308853976373157,67.23763332309177
safe-system-prefix,safe_system_prefix,qwen/qwen3-8b,47.26890756302521,81.02766798418972,-33.75876042116451,59.7068056049966
safe-system-prefix,safe_system_prefix,meta-llama/llama-3.1-8b-instruct,37.18487394957983,38.537549407114625,-1.3526754575347937,37.84912984834029
safe-system-prefix,safe_system_prefix,mistralai/mistral-small-3.2-24b-instruct,90.05602240896359,24.90118577075099,65.1548366382126,39.014547748493946
spectrum-balanced-safe,spectrum_balanced_safe,google/gemini-2.5-flash-lite,34.523809523809526,90.11857707509881,-55.59476755128929,49.92260938502775
spectrum-balanced-safe,spectrum_balanced_safe,qwen/qwen3-8b,25.910364145658264,85.17786561264822,-59.267501466989955,39.733993780896185
spectrum-balanced-safe,spectrum_balanced_safe,meta-llama/llama-3.1-8b-instruct,38.58543417366947,52.27272727272727,-13.687293099057804,44.398122197309426
spectrum-balanced-safe,spectrum_balanced_safe,mistralai/mistral-small-3.2-24b-instruct,47.75910364145658,68.28063241106719,-20.521528769610605,56.20526055916399
spectrum-balanced,spectrum_balanced,google/gemini-2.5-flash-lite,8.61344537815126,99.2094861660079,-90.59604078785665,15.850718911966977
spectrum-balanced,spectrum_balanced,qwen/qwen3-8b,4.271708683473389,89.82213438735178,-85.55042570387839,8.155560000705995
spectrum-balanced,spectrum_balanced,meta-llama/llama-3.1-8b-instruct,33.4733893557423,77.56916996047431,-44.09578060473201,46.76590748768007
spectrum-balanced,spectrum_balanced,mistralai/mistral-small-3.2-24b-instruct,23.4593837535014,88.2411067193676,-64.7817229658662,37.0648683206296
baseline-no-push,baseline_no_push,google/gemini-2.5-flash-lite,9.243697478991596,99.30830039525692,-90.06460291626533,16.913108998141162
baseline-no-push,baseline_no_push,qwen/qwen3-8b,6.862745098039215,93.87351778656127,-87.01077268852205,12.790429296814896
baseline-no-push,baseline_no_push,meta-llama/llama-3.1-8b-instruct,14.985994397759104,96.44268774703558,-81.45669334927648,25.941069219572054
baseline-no-push,baseline_no_push,mistralai/mistral-small-3.2-24b-instruct,22.829131652661065,96.44268774703558,-73.61355609437452,36.91907822979277
spectrum-utility-leaning,spectrum_utility_leaning,google/gemini-2.5-flash-lite,0.0,100.0,-100.0,0.0
spectrum-utility-leaning,spectrum_utility_leaning,qwen/qwen3-8b,0.49019607843137253,93.18181818181819,-92.69162210338682,0.9752616555661275
spectrum-utility-leaning,spectrum_utility_leaning,meta-llama/llama-3.1-8b-instruct,18.067226890756302,55.533596837944664,-37.46636994718836,27.26431698181326
spectrum-utility-leaning,spectrum_utility_leaning,mistralai/mistral-small-3.2-24b-instruct,0.0,100.0,-100.0,0.0
baseline-push-nudge,baseline_push_nudge,google/gemini-2.5-flash-lite,0.7002801120448179,99.90118577075098,-99.20090565870616,1.3908110175343988
baseline-push-nudge,baseline_push_nudge,qwen/qwen3-8b,0.9103641456582633,93.57707509881423,-92.66671095315597,1.803186004546413
baseline-push-nudge,baseline_push_nudge,meta-llama/llama-3.1-8b-instruct,11.904761904761905,91.99604743083005,-80.09128552606813,21.0814727593859
baseline-push-nudge,baseline_push_nudge,mistralai/mistral-small-3.2-24b-instruct,0.8403361344537815,100.0,-99.15966386554622,1.6666666666666667
spectrum-utility-maximizing,spectrum_utility_maximizing,google/gemini-2.5-flash-lite,0.0,100.0,-100.0,0.0
spectrum-utility-maximizing,spectrum_utility_maximizing,qwen/qwen3-8b,0.0,89.82213438735178,-89.82213438735178,0.0
spectrum-utility-maximizing,spectrum_utility_maximizing,meta-llama/llama-3.1-8b-instruct,12.324929971988796,72.5296442687747,-60.20471429678591,21.06952499624877
spectrum-utility-maximizing,spectrum_utility_maximizing,mistralai/mistral-small-3.2-24b-instruct,0.0,100.0,-100.0,0.0
spectrum-safety-ignored,spectrum_safety_ignored,google/gemini-2.5-flash-lite,0.0,100.0,-100.0,0.0
spectrum-safety-ignored,spectrum_safety_ignored,qwen/qwen3-8b,0.0,90.9090909090909,-90.9090909090909,0.0
spectrum-safety-ignored,spectrum_safety_ignored,meta-llama/llama-3.1-8b-instruct,26.400560224089634,36.95652173913044,-10.555961515040803,30.799173434571582
spectrum-safety-ignored,spectrum_safety_ignored,mistralai/mistral-small-3.2-24b-instruct,0.0,100.0,-100.0,0.0
